word,level,pos,word_fr,flag,last_seen_date
answer,a1,noun,réponse,,
answer,a1,verb,répondre,,
anticipate,b2,verb,anticiper,,
anxiety,b2,noun,anxiété,,
anxious,b2,adjective,anxieux,,
any,a2,adverb,aucun,,
any,a1,determiner,aucun,,
any,a1,pronoun,aucun,,
any more,a2,adverb,ne plus,,
anybody,a2,pronoun,quelqu'un,,
anyone,a1,pronoun,n'importe qui,,
anything,a1,pronoun,n'importe quoi,,
anyway,a2,adverb,quoi qu'il en soit,,
anywhere,a2,adverb,n'importe où,,
anywhere,a2,pronoun,quelque part,,
apart,b1,adverb,séparé,,
apartment,a1,noun,appartement,,
apologize,b1,verb,faire l'apologie de,,
apology,b2,noun,excuses,,
app,a2,noun,appli,,
apparatus,c1,noun,appareil,,
apparent,b2,adjective,manifeste,,
apparently,b2,adverb,apparemment,,
appeal,b2,noun,appel,,
appeal,b2,verb,faire appel,,
appealing,c1,adjective,attrayant,,
appear,a2,verb,apparaître,,
appearance,a2,noun,apparence,,
appetite,c1,noun,appétit,,
applaud,c1,verb,applaudir,,
apple,a1,noun,pomme,,
applicable,c1,adjective,applicable,,
applicant,b2,noun,candidat,,
application,b1,noun,application,,
apply,a2,verb,appliquer,,
appoint,c1,verb,fixer,,
appointment,b1,noun,rendez-vous,,
appreciate,b1,verb,apprécier,,
appreciation,c1,noun,reconnaissance,,
approach,b2,noun,approche,,
approach,b2,verb,approcher,,
appropriate,b2,adjective,approprié,,
appropriately,b2,adverb,de manière appropriée,,
approval,b2,noun,approbation,,
approve,b2,verb,approuver,,
approximately,b1,adverb,à peu près,,
april,a1,noun,avril,,
arbitrary,c1,adjective,arbitraire,,
architect,a2,noun,architecte,,
architectural,c1,adjective,architectural,,
architecture,a2,noun,architecture,,
archive,c1,noun,archives,,
area,a1,noun,aire,,
arena,c1,noun,arène,,
arguably,c1,adverb,sans doute,,
argue,a2,verb,se disputer,,
argument,a2,noun,argument,,
arise,b2,verb,se lever,,
arm,a1,noun,bras,,
arm,c1,verb,armer,,
armed,b2,adjective,armé,,
arms,b2,noun,armes,,
army,a2,noun,armée,,
around,a1,adverb,autour de,,
around,a1,preposition,autour de,,
arrange,a2,verb,arranger,,
arrangement,a2,noun,disposition,,
array,c1,noun,tableau,,
arrest,b1,noun,arrestation,,
arrest,b1,verb,arrêter,,
arrival,b1,noun,arrivée,,
arrive,a1,verb,arriver,,
arrow,b2,noun,flèche,,
art,a1,noun,art,,
article,a1,noun,article,,
articulate,c1,verb,articuler,,
artificial,b2,adjective,artificiel,,
artist,a1,noun,artiste,,
artistic,b2,adjective,artistique,,
artwork,b2,noun,œuvre d'art,,
as,a2,adverb,aussi,,
as,a2,conjunction,puisque,,
as,a1,preposition,comme,,
ash,c1,noun,cendre,,
ashamed,b2,adjective,honteux,,
aside,b2,adverb,à côté,,
ask,a1,verb,demander,,
asleep,a2,adjective,endormi,,
aspect,b2,noun,aspect,,
aspiration,c1,noun,aspiration,,
aspire,c1,verb,aspirer,,
assassination,c1,noun,assassinat,,
assault,c1,noun,assaut,,
assault,c1,verb,attaquer,,
assemble,c1,verb,assembler,,
assembly,c1,noun,assemblée,,
assert,c1,verb,asseoir,,
assertion,c1,noun,assertion,,
assess,b2,verb,estimer,,
assessment,b2,noun,évaluation,,
asset,b2,noun,actif,,
assign,b2,verb,assigner,,
assignment,b1,noun,affectation,,
assist,b1,verb,assister,,
assistance,b2,noun,assistance,,
assistant,a2,adjective,adjoint,,
assistant,a2,noun,assistant,,
associate,b2,verb,associer,,
associated,b2,adjective,associé,,
association,b2,noun,association,,
assume,b2,verb,adopter,,
assumption,b2,noun,supposition,,
assurance,c1,noun,culot,,
assure,b2,verb,assurer,,
astonishing,b2,adjective,étonnant,,
asylum,c1,noun,asile,,
at,a1,preposition,à,,
athlete,a2,noun,athlète,,
atmosphere,b1,noun,atmosphère,,
atrocity,c1,noun,atrocité,,
attach,b1,verb,attacher,,
attachment,b2,noun,pièce jointe,,
attack,a2,noun,attaque,,
attack,a2,verb,attaquer,,
attain,c1,verb,atteindre,,
attempt,b2,noun,attentat,,
attempt,b2,verb,essayer,,
attend,a2,verb,assister,,
attendance,c1,noun,présence,,
attention,a2,exclamation,attention,,
attention,a2,noun,attention,,
attitude,b1,noun,attitude,,
attorney,c1,noun,juriste,,
attract,b1,verb,attirer,,
attraction,b1,noun,attraction,,
attractive,a2,adjective,attrayant,,
attribute,c1,noun,attribut,,
attribute,c1,verb,attribuer,,
auction,b2,noun,vente aux enchères,,
audience,a2,noun,audience,,
audio,b2,adjective,audio,,
audit,c1,noun,audit,,
august,a1,noun,août,,
aunt,a1,noun,tante,,
authentic,c1,adjective,authentique,,
author,a2,noun,auteur,,
authority,b1,noun,autorité,,
authorize,c1,verb,autoriser,,
auto,c1,noun,voiture,,
automatic,b2,adjective,automatique,,
automatically,b2,adverb,automatiquement,,
autonomy,c1,noun,autonomie,,
autumn,a1,noun,automne,,
availability,c1,noun,disponibilité,,
available,a2,adjective,disponible,,
average,a2,adjective,moyenne,,
average,a2,noun,moyenne,,
average,b1,verb,moyenner,,
avoid,a2,verb,éviter,,
await,c1,verb,attendre,,
award,a2,noun,prix,,
award,b1,verb,accorder,,
aware,b1,adjective,conscient,,
awareness,b2,noun,conscience,,
away,a1,adverb,loin,,
awful,a2,adjective,horrible,,
awkward,b2,adjective,maladroit,,
baby,a1,noun,bébé,,
back,a2,adjective,de derrière,,
back,a1,adverb,de retour,,
back,a1,noun,dos,,
back,b2,verb,reculer,,
backdrop,c1,noun,contexte,,
background,a2,noun,fond,,
backing,c1,noun,soutien,,
backup,c1,noun,sauvegarde,,
backwards,b1,adverb,en arrière,,
bacteria,b2,noun,bactéries,,
bad,a1,adjective,mauvais,,
badge,b2,noun,insigne,,
badly,a2,adverb,mal,,
bag,a1,noun,sac,,
bail,c1,noun,caution,,
bake,b1,verb,cuire,,
balance,b1,noun,solde,,
balance,b1,verb,apurer,,
balanced,b2,adjective,équilibré,,
ball,a1,noun,balle,,
ballet,b2,noun,ballet,,
balloon,b2,noun,ballon,,
ballot,c1,noun,bulletin de vote,,
ban,b1,noun,interdiction,,
ban,b1,verb,interdire,,
banana,a1,noun,banane,,
band,a1,noun,groupe,,
bank,a1,noun,banque,,
banner,c1,noun,bannière,,
bar,a2,noun,bar,,
bar,b2,verb,barrer,,
bare,c1,adjective,nu,,
barely,b2,adverb,à peine,,
bargain,b2,noun,accord,,
barrel,c1,noun,tonneau,,
barrier,b2,noun,barrière,,
base,b1,noun,base,,
base,b1,verb,baser,,
baseball,a2,noun,balle de baseball,,
based,a2,adjective,basé,,
basement,b2,noun,sous-sol,,
basic,b1,adjective,basique,,
basically,b2,adverb,essentiellement,,
basis,b1,noun,base,,
basket,b2,noun,panier,,
basketball,a2,noun,basket-ball,,
bass,c1,noun,perche,,
bat,b2,noun,chauve-souris,,
bat,c1,verb,frapper,,
bath,a1,noun,bain,,
bathroom,a1,noun,salle de bains,,
battery,b1,noun,batterie,,
battle,b1,noun,bataille,,
battle,b2,verb,lutter,,
battlefield,c1,noun,champ de bataille,,
bay,c1,noun,baie,,
be,a1,verb,avoir,,
be,a1,auxiliary verb,être,,
beach,a1,noun,plage,,
beam,c1,noun,poutre,,
bean,a2,noun,haricot,,
bear,a2,noun,ours,,
bear,b2,verb,porter,,
beast,c1,noun,bête,,
beat,b2,noun,rythme,,
beat,a2,verb,battre,,
beautiful,a1,adjective,beau,,
beauty,b1,noun,beauté,,
because,a1,conjunction,parce que,,
become,a1,verb,devenir,,
bed,a1,noun,lit,,
bedroom,a1,noun,chambre à coucher,,
bee,b1,noun,abeille,,
beef,a2,noun,bœuf,,
beer,a1,noun,bière,,
before,a2,adverb,avant,,
before,a2,conjunction,avant que,,
before,a1,preposition,avant,,
beg,b2,verb,mendier,,
begin,a1,verb,commencer,,
beginning,a1,noun,début,,
behalf,c1,noun,au nom de,,
behave,a2,verb,se conduire,,
behaviour,a2,noun,comportement,,
behind,a1,adverb,derrière,,
behind,a1,preposition,derrière,,
being,b2,noun,être,,
belief,b1,noun,foi,,
believe,a1,verb,croire,,
bell,b1,noun,cloche,,
belong,a2,verb,faire partie,,
beloved,c1,adjective,bien-aimé,,
below,a1,adverb,en dessous de,,
below,a1,preposition,en dessous de,,
belt,a2,noun,ceinture,,
bench,c1,noun,banc,,
benchmark,c1,noun,référence,,
bend,b1,noun,bande,,
bend,b1,verb,courber,,
beneath,c1,preposition,sous,,
beneficial,b2,adjective,bénéfique,,
beneficiary,c1,noun,bénéficiaire,,
benefit,a2,noun,avantage,,
benefit,b1,verb,profiter,,
bent,b2,adjective,courbé,,
beside,b2,preposition,à côté de,,
besides,b2,adverb,en plus de,,
besides,b2,preposition,en plus de,,
best,a1,adjective,meilleur,,
best,a2,adverb,mieux,,
best,a2,noun,mieux,,
bet,b2,noun,pari,,
bet,b2,verb,parier,,
betray,c1,verb,trahir,,
better,a1,adjective,meilleur,,
better,a2,adverb,mieux,,
better,b1,noun,meilleur,,
between,a2,adverb,entre,,
between,a1,preposition,entre,,
beyond,b2,adverb,plus loin,,
beyond,b2,preposition,au delà de,,
bias,b2,noun,préjugé,,
bicycle,a1,noun,vélo,,
bid,b2,noun,enchère,,
bid,b2,verb,faire une enchère,,
big,a1,adjective,grand,,
bike,a1,noun,vélo,,
bill,a1,noun,facture,,
bill,b2,verb,piocher,,
billion,a2,number,milliard,,
bin,a2,noun,boîte,,
bind,c1,verb,relier,,
biography,c1,noun,biographie,,
biological,b2,adjective,biologique,,
biology,a2,noun,biologie,,
bird,a1,noun,oiseau,,
birth,a2,noun,naissance,,
birthday,a1,noun,anniversaire,,
biscuit,a2,noun,biscuit,,
bishop,c1,noun,évêque,,
bit,a2,noun,morceau,,
bite,b1,noun,morsure,,
bite,b1,verb,mordre,,
bitter,b2,adjective,amer,,
bizarre,c1,adjective,bizarre,,
black,a1,adjective,noir,,
black,a1,noun,noir,,
blade,c1,noun,lame,,
blame,b2,noun,blâme,,
blame,b2,verb,reprocher,,
blank,a2,adjective,blanc,,
blank,a2,noun,balle à blanc,,
blanket,b2,noun,couverture,,
blast,c1,noun,bourrasque,,
blast,c1,verb,faire exploser,,
bleed,c1,verb,saigner,,
blend,c1,noun,mélange,,
blend,c1,verb,mélanger,,
bless,c1,verb,bénir,,
blessing,c1,noun,bénédiction,,
blind,b2,adjective,aveugle,,
block,b1,noun,bloc,,
block,b1,verb,boucher,,
blog,a1,noun,blog,,
blonde,a1,adjective,blond,,
blood,a2,noun,sang,,
blow,b2,noun,coup,,
blow,a2,verb,souffler,,
blue,a1,adjective,bleu,,
blue,a1,noun,bleu,,
board,a2,noun,planche,,
board,b1,verb,aborder,,
boast,c1,verb,se vanter,,
boat,a1,noun,bateau,,
body,a1,noun,corps,,
boil,a2,verb,bouillir,,
bold,b2,adjective,audacieux,,
bomb,b1,noun,bombe,,
bomb,b1,verb,bombarder,,
bombing,b2,noun,bombardement,,
bond,b2,noun,lien,,
bone,a2,noun,os,,
bonus,c1,noun,prime,,
book,a1,noun,livre,,
book,a2,verb,réserver,,
booking,b2,noun,réservation,,
boom,c1,noun,boum,,
boost,b2,noun,coup de pouce,,
boost,b2,verb,stimuler,,
boot,a1,noun,botte,,
border,b1,noun,bord,,
border,b2,verb,border,,
bored,a1,adjective,ennuyé,,
boring,a1,adjective,ennuyeux,,
born,a1,verb,naître,,
borrow,a2,verb,emprunter,,
boss,a2,noun,patron,,
both,a1,determiner,les deux,,
both,a1,pronoun,les deux,,
bother,b1,verb,gêner,,
bottle,a1,noun,bouteille,,
bottom,a2,adjective,fond,,
bottom,a2,noun,fond,,
bounce,c1,verb,rebondir,,
bound,b2,adjective,obligé,,
boundary,c1,noun,frontière,,
bow,c1,noun,arc,,
bow,c1,verb,s'incliner,,
bowl,a2,noun,bol,,
box,a1,noun,boîte,,
boy,a1,noun,garçon,,
boyfriend,a1,noun,chum,,
brain,a2,noun,cerveau,,
branch,b1,noun,branche,,
brand,b1,noun,marque,,
brand,b1,verb,flétrir,,
brave,b1,adjective,courageux,,
breach,c1,noun,brèche,,
breach,c1,verb,enfreindre,,
bread,a1,noun,pain,,
break,a1,noun,pause,,
break,a1,verb,se rompre,,
breakdown,c1,noun,dégradation,,
breakfast,a1,noun,petit déjeuner,,
breakthrough,c1,noun,percée,,
breast,b2,noun,poitrine,,
breath,b1,noun,haleine,,
breathe,b1,verb,respirer,,
breathing,b1,noun,respiration,,
breed,c1,noun,race,,
breed,c1,verb,élever,,
brick,b2,noun,brique,,
bride,b1,noun,jeune mariée,,
bridge,a2,noun,pont,,
brief,b2,adjective,bref,,
briefly,b2,adverb,brièvement,,
bright,a2,adjective,lumineux,,
brilliant,a2,adjective,brillant,,
bring,a1,verb,apporter,,
broad,b2,adjective,large,,
broadband,c1,noun,haut débit,,
broadcast,b2,noun,émission,,
broadcast,b2,verb,diffuser,,
broadcaster,b2,noun,diffuseur,,
broadly,b2,adverb,largement,,
broken,a2,adjective,cassé,,
brother,a1,noun,frère,,
brown,a1,adjective,brun,,
brown,a1,noun,brun,,
browser,c1,noun,navigateur,,
brush,a2,noun,brosse,,
brush,a2,verb,peindre,,
brutal,c1,adjective,brutal,,
bubble,b1,noun,bulle,,
buck,c1,noun,bouc,,
buddy,c1,noun,camarade,,
budget,b2,noun,budget,,
buffer,c1,noun,tampon,,
bug,b2,noun,insecte,,
build,a1,verb,construire,,
building,a1,noun,construction,,
bulk,c1,noun,masse,,
bullet,b2,noun,balle,,
bunch,b2,noun,groupe,,
burden,c1,noun,charge,,
bureaucracy,c1,noun,bureaucratie,,
burial,c1,noun,enterrement,,
burn,b2,noun,brûlure,,
burn,a2,verb,brûler,,
burst,c1,verb,éclater,,
bury,b1,verb,enterrer,,
bus,a1,noun,autobus,,
bush,b2,noun,buisson,,
business,a1,noun,affaire,,
businessman,a2,noun,homme d'affaires,,
busy,a1,adjective,occupé,,
but,a1,conjunction,mais,,
but,b2,preposition,mais,,
butter,a1,noun,beurre,,
button,a2,noun,bouton,,
buy,a1,verb,acheter,,
by,b1,adverb,par,,
by,a1,preposition,par,,
bye,a1,exclamation,salut,,
cabin,b2,noun,cabine,,
cabinet,c1,noun,armoire,,
cable,b2,noun,câble,,
cafe,a1,noun,café,,
cake,a1,noun,gâteau,,
calculate,b2,verb,calculer,,
calculation,c1,noun,addition,,
call,a1,noun,appel,,
call,a1,verb,s'appeler,,
calm,b1,adjective,calme,,
calm,b1,noun,calme,,
calm,b1,verb,calmer,,
camera,a1,noun,caméra,,
camp,a2,noun,camp,,
camp,a2,verb,camper,,
campaign,b1,noun,campagne,,
campaign,b1,verb,faire campagne,,
camping,a2,noun,camping,,
campus,b1,noun,campus,,
can,a2,noun,boîte,,
can,a1,modal verb,pouvoir,,
canal,b2,noun,canal,,
cancel,b2,verb,annuler,,
cancer,b2,noun,cancer,,
candidate,b1,noun,candidat,,
candle,b2,noun,bougie,,
cannot,a1,modal verb,ne pas pouvoir,,
canvas,c1,noun,toile,,
cap,b1,noun,bonnet,,
capability,c1,noun,capacité,,
capable,b2,adjective,capable,,
capacity,b2,noun,capacité,,
capital,a1,adjective,capital,,
capital,a1,noun,capital,,
capitalism,c1,noun,capitalisme,,
capitalist,c1,adjective,capitaliste,,
captain,b1,noun,capitaine,,
capture,b2,noun,capture,,
capture,b2,verb,attraper,,
car,a1,noun,auto,,
carbon,b2,noun,carbone,,
card,a1,noun,carte,,
care,a2,noun,souci,,
care,a2,verb,se soucier,,
career,a1,noun,carrière,,
careful,a2,adjective,prudent,,
carefully,a2,adverb,soigneusement,,
careless,b1,adjective,négligent,,
cargo,c1,noun,cargaison,,
carpet,a2,noun,tapis,,
carriage,c1,noun,wagon,,
carrot,a1,noun,carotte,,
carry,a1,verb,porter,,
cartoon,a2,noun,dessin animé,,
carve,c1,verb,buriner,,
case,a2,noun,cas,,
cash,a2,noun,espèces,,
casino,c1,noun,casino,,
cast,b2,noun,jet,,
cast,b2,verb,fondre,,
castle,a2,noun,château,,
casual,b2,adjective,décontracté,,
casualty,c1,noun,victime,,
cat,a1,noun,chat,,
catalogue,c1,noun,catalogue,,
catch,b2,noun,hic,,
catch,a2,verb,attraper,,
category,b1,noun,catégorie,,
cater,c1,verb,satisfaire,,
cattle,c1,noun,bétail,,
cause,a2,noun,cause,,
cause,a2,verb,causer,,
caution,c1,noun,prudence,,
cautious,c1,adjective,prudent,,
cave,b2,noun,grotte,,
cd,a1,noun,CD,,
cease,c1,verb,cesser,,
ceiling,b1,noun,plafond,,
celebrate,a2,verb,fêter,,
celebration,b1,noun,fête,,
celebrity,a2,noun,célébrité,,
cell,b2,noun,cellule,,
cemetery,c1,noun,cimetière,,
cent,a1,noun,cent,,
central,b1,adjective,central,,
centre,a1,noun,Centre,,
centre,b1,verb,centrer,,
century,a1,noun,siècle,,
ceremony,b1,noun,cérémonie,,
certain,a2,adjective,certain,,
certainly,a2,adverb,certainement,,
certainty,b2,noun,certitude,,
certificate,b2,noun,document,,
chain,b1,noun,chaîne,,
chain,b2,verb,chaîner,,
chair,a1,noun,chaise,,
chair,b2,verb,présider,,
chairman,b2,noun,président,,
challenge,b1,noun,défi,,
challenge,b2,verb,défier,,
challenging,b2,adjective,stimulant,,
chamber,c1,noun,chambre,,
champion,b1,noun,champion,,
championship,b2,noun,championnat,,
chance,a2,noun,chance,,
change,a1,noun,monnaie,,
change,a1,verb,changer,,
channel,b1,noun,chaîne,,
chaos,c1,noun,chaos,,
chapter,b1,noun,chapitre,,
character,a2,noun,caractère,,
characteristic,b2,adjective,caractéristique,,
characteristic,b2,noun,caractéristique,,
characterize,c1,verb,caractériser,,
charge,b1,noun,inculpation,,
charge,b1,verb,charger,,
charity,a2,noun,charité,,
charm,c1,noun,charme,,
charming,b2,adjective,charmant,,
chart,a1,noun,graphique,,
chart,b2,verb,tracer,,
charter,c1,noun,charte,,
chase,b2,noun,poursuite,,
chase,b2,verb,poursuivre,,
chat,a2,noun,discussion,,
chat,a2,verb,bavarder,,
cheap,a1,adjective,radin,,
cheap,b1,adverb,radin,,
cheat,b1,noun,menteur,,
cheat,b1,verb,tromper,,
check,a2,noun,addition,,
check,a1,verb,vérifier,,
cheek,b2,noun,joue,,
cheer,b2,noun,acclamation,,
cheer,b2,verb,applaudir,,
cheerful,b1,adjective,joyeux,,
cheese,a1,noun,fromage,,
chef,a2,noun,chef,,
chemical,b1,adjective,chimique,,
chemical,b1,noun,produit chimique,,
chemistry,a2,noun,chimie,,
chest,b1,noun,coffre,,
chicken,a1,noun,poulet,,
chief,b2,adjective,dominant,,
chief,b2,noun,dominant,,
child,a1,noun,enfant,,
childhood,b1,noun,enfance,,
chip,a2,noun,chip,,
chocolate,a1,noun,chocolat,,
choice,a2,noun,choix,,
choir,b2,noun,classe,,
choose,a1,verb,choisir,,
chop,b2,verb,hacher,,
chronic,c1,adjective,chronique,,
chunk,c1,noun,bloc,,
church,a2,noun,église,,
cigarette,a2,noun,cigarette,,
cinema,a1,noun,cinéma,,
circle,a2,noun,cercle,,
circle,a2,verb,encercler,,
circuit,b2,noun,circuit,,
circulate,c1,verb,circuler,,
circulation,c1,noun,circulation,,
circumstance,b2,noun,circonstance,,
cite,b2,verb,citer,,
citizen,b2,noun,citoyen,,
citizenship,c1,noun,citoyenneté,,
city,a1,noun,ville,,
civic,c1,adjective,civique,,
civil,b2,adjective,civil,,
